contracts_id,events_id,last_block_indexed
4e131c63-2d96-5402-99e2-76f8069126d1,4005ad0a-82c8-5071-9f76-804e753738a7,0
933c5313-0322-533a-9ca0-2ffc55f30d36,87f19d2c-6490-5bfc-b551-bacabbea7ab3,0
4e131c63-2d96-5402-99e2-76f8069126d1,87f19d2c-6490-5bfc-b551-bacabbea7ab3,0
933c5313-0322-533a-9ca0-2ffc55f30d36,1673bb82-e1a3-57a0-9e40-2ba1a6518133,0
933c5313-0322-533a-9ca0-2ffc55f30d36,4005ad0a-82c8-5071-9f76-804e753738a7,0
933c5313-0322-533a-9ca0-2ffc55f30d36,ee6511da-c2f8-569e-ac7e-8c323a022ac3,0
933c5313-0322-533a-9ca0-2ffc55f30d36,77a23d72-77dc-5dec-a06d-22ea5e1da368,0
a4f05ebd-aa19-578e-89ff-8f791ef6bf9d,77a23d72-77dc-5dec-a06d-22ea5e1da368,0
a4f05ebd-aa19-578e-89ff-8f791ef6bf9d,1673bb82-e1a3-57a0-9e40-2ba1a6518133,0
4e131c63-2d96-5402-99e2-76f8069126d1,77a23d72-77dc-5dec-a06d-22ea5e1da368,0
4e131c63-2d96-5402-99e2-76f8069126d1,ee6511da-c2f8-569e-ac7e-8c323a022ac3,0
4e131c63-2d96-5402-99e2-76f8069126d1,1673bb82-e1a3-57a0-9e40-2ba1a6518133,0
a4f05ebd-aa19-578e-89ff-8f791ef6bf9d,87f19d2c-6490-5bfc-b551-bacabbea7ab3,0
a4f05ebd-aa19-578e-89ff-8f791ef6bf9d,ee6511da-c2f8-569e-ac7e-8c323a022ac3,0
a4f05ebd-aa19-578e-89ff-8f791ef6bf9d,4005ad0a-82c8-5071-9f76-804e753738a7,0